% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
204,10000,-101.5335219257269
204,30000,-106.38085905574692
204,50000,-100.04529927707017
204,70000,-101.29063561969345
205,10000,-101.53696466945448
205,30000,-106.40272081965314
205,50000,-100.0380034526407
205,70000,-101.23912123792914
206,10000,-101.54122049248122
206,30000,-106.43204068107491
206,50000,-100.04331219737443
206,70000,-101.21915049836338
207,10000,-101.54628444337133
207,30000,-106.46876262029748
207,50000,-100.06111873665617
207,70000,-101.230031448999
208,10000,-101.55215067797494
208,30000,-106.51282285377147
208,50000,-100.09131093766487
208,70000,-101.27113825582256
209,10000,-101.5588124657883
209,30000,-106.56414981497305
209,50000,-100.13377183031609
209,70000,-101.34190269275777
210.00000000000003,10000,-101.56626219699098
