Frequency_Hz,TargetStrength_dB_re_1m
41018.2182182182,-37.8537910447339
41108.2582582583,-37.8545966311402
41198.2982982983,-37.8553575553933
41288.3383383383,-37.8560743974749
41378.3783783784,-37.8567478376476
41468.4184184184,-37.8573786535062
41558.4584584585,-37.8579677167988
41648.4984984985,-37.8585159900292
41738.5385385385,-37.8590245228534
41828.5785785786,-37.8594944482837
41918.6186186186,-37.8599269787119
42008.6586586587,-37.8603234017667
42098.6986986987,-37.8606850760192
42188.7387387387,-37.861013426549
42278.7787787788,-37.8613099403873
42368.8188188188,-37.8615761618504
42458.8588588589,-37.8618136877773
42548.8988988989,-37.8620241626883
42638.9389389389,-37.8622092738762
42728.978978979,-37.8623707464475
42819.019019019,-37.862510338326
42909.0590590591,-37.8626298352334
42999.0990990991,-37.8627310456622
43089.1391391391,-37.8628157958529
43179.1791791792,-37.8628859247903
43269.2192192192,-37.862943279232
43359.2592592593,-37.8629897087817
43449.2992992993,-37.8630270610198
43539.3393393393,-37.8630571767046
43629.3793793794,-37.8630818850535
43719.4194194194,-37.8631029991187
43809.4594594595,-37.8631223112648
43899.4994994995,-37.863141588762
43989.5395395395,-37.8631625695017
44079.5795795796,-37.8631869578461
44169.6196196196,-37.8632164206199
44259.6596596597,-37.8632525832515
44349.6996996997,-37.8632970260731
44439.7397397397,-37.8633512807852
44529.7797797798,-37.8634168270931
44619.8198198198,-37.8634950895219
44709.8598598599,-37.8635874344138
44799.8998998999,-37.8636951671147
44889.9399399399,-37.8638195293526
44979.97997998,-37.8639616968133
45070.02002002,-37.8641227769154
45160.0600600601,-37.8643038067881
45250.1001001001,-37.8645057514537
45340.1401401402,-37.864729502217
45430.1801801802,-37.8649758752611
45520.2202202202,-37.865245610453
45610.2602602603,-37.8655393703567
45700.3003003003,-37.8658577394545
45790.3403403403,-37.8662012235757
45880.3803803804,-37.8665702495314
45970.4204204204,-37.8669651649533
46060.4604604605,-37.8673862383346
46150.5005005005,-37.8678336592707
46240.5405405405,-37.8683075388957
46330.5805805806,-37.8688079105128
46420.6206206206,-37.8693347304127
46510.6606606607,-37.8698878788779
46600.7007007007,-37.870467161367
46690.7407407408,-37.8710723098748
46780.7807807808,-37.8717029844615
46870.8208208208,-37.8723587749484
46960.8608608609,-37.8730392027704
47050.9009009009,-37.8737437229822
47140.9409409409,-37.8744717264103
47230.980980981,-37.8752225419441
47321.021021021,-37.8759954389595
47411.0610610611,-37.8767896298677
47501.1011011011,-37.8776042727815
47591.1411411411,-37.8784384742916
47681.1811811812,-37.8792912923454
47771.2212212212,-37.8801617392194
47861.2612612613,-37.8810487845782
47951.3013013013,-37.8819513586109
48041.3413413414,-37.8828683552368
48131.3813813814,-37.8837986353719
48221.4214214214,-37.8847410302475
48311.4614614615,-37.8856943447725
48401.5015015015,-37.8866573609299
48491.5415415415,-37.8876288412
48581.5815815816,-37.8886075320002
48671.6216216216,-37.8895921671336
48761.6616616617,-37.8905814712372
48851.7017017017,-37.8915741632214
48941.7417417418,-37.8925689596913
49031.7817817818,-37.893564578343
49121.8218218218,-37.8945597413241
49211.8618618619,-37.8955531785528
49301.9019019019,-37.8965436309851
49391.9419419419,-37.8975298538236
49481.981981982,-37.8985106196597
49572.022022022,-37.8994847215413
49662.0620620621,-37.9004509759598
49752.1021021021,-37.9014082257475
49842.1421421422,-37.9023553428806
49932.1821821822,-37.9032912311795
50022.2222222222,-37.9042148289016
50112.2622622623,-37.9051251112199
50202.3023023023,-37.9060210925816
50292.3423423424,-37.906901828943
50382.3823823824,-37.9077664198732
50472.4224224224,-37.9086140105252
50562.4624624625,-37.9094437934675
50652.5025025025,-37.9102550103751
50742.5425425425,-37.9110469535739
50832.5825825826,-37.9118189674383
50922.6226226226,-37.9125704496375
51012.6626626627,-37.9133008522294
51102.7027027027,-37.9140096826012
51192.7427427428,-37.9146965042533
51282.7827827828,-37.915360937429
51372.8228228228,-37.9160026595863
51462.8628628629,-37.9166214057152
51552.9029029029,-37.9172169684981
51642.9429429429,-37.9177891983171
51732.982982983,-37.9183380031073
51823.023023023,-37.9188633480596
51913.0630630631,-37.9193652551745
52003.1031031031,-37.9198438026692
